FREQ;Frekvens;INSTRUMENT_TYPE;Instrumenttype;TENOR;Løpetid;UNIT_MEASURE;Måleenhet;DECIMALS;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-10;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-11;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-12;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021-01;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021-02;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021-03;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021-04;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021-05;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021-06;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021-07;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021-08;-1;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021-09;-0,94;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021-10;-0,75;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021-11;-0,75;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021-12;-0,64;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-01;-0,5;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-02;-0,5;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-03;-0,45;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-04;-0,25;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-05;-0,25;;
