r,P,payback_time
r0.052,p125000,pt17
r0.01,p142000,pt11
r0.013,p115000,pt13
r0.025,p112000,pt15
r0.042,p140000,pt13
r0.016,p137000,pt11
r0.032,p125000,pt14
r0.013,p129000,pt12
r0.01,p124000,pt12
r0.057,p129000,pt17
r0.005,p128000,pt11
r0.023,p117000,pt14
r0.065,p135000,pt17
r0.005,p123000,pt12
r0.027,p128000,pt13
r0.02,p118000,pt14
r0.01,p102000,pt15
r0.025,p128000,pt13
r0.067,p123000,pt21
r0.02,p108000,pt15
r0.02,p128000,pt12
r0.023,p127000,pt13
r0.01,p125000,pt12
r0.025,p114000,pt15
r0.005,p135000,pt11
r0.052,p100000,pt24
r0.025,p127000,pt13
r0.01,p123000,pt12
r0.033,p100000,pt19
r0.01,p121000,pt12
r0.06,p134000,pt16
r0.023,p99000,pt17
r0.038,p113000,pt17
r0.01,p126000,pt12
r0.018,p110000,pt14
r0.02,p113000,pt14
r0.025,p131000,pt13
r0.01,p110000,pt14
r0.02,p107000,pt15
r0.023,p113000,pt15
r0.05,p111000,pt19
r0.02,p120000,pt13
r0.035,p137000,pt13
r0.037,p100000,pt19
r0.032,p127000,pt14
r0.01,p146000,pt10
r0.023,p125000,pt13
r0.011,p135000,pt11
r0.007,p128000,pt12
r0.02,p121000,pt13
r0.023,p134000,pt12
r0.023,p123000,pt13
r0.06,p99000,pt29
r0.03,p126000,pt14
r0.02,p138000,pt11
r0.016,p115000,pt14
r0.05,p130000,pt15
r0.02,p128000,pt12
r0.01,p111000,pt14
r0.02,p128000,pt12
r0.03,p105000,pt17
r0.057,p118000,pt19
r0.013,p116000,pt13
r0.013,p116000,pt13
r0.005,p114000,pt13
r0.016,p107000,pt15
r0.02,p119000,pt13
r0.02,p96000,pt17
r0.025,p134000,pt12
r0.06,p134000,pt16
r0.023,p118000,pt14
r0.005,p115000,pt13
r0.01,p126000,pt12
r0.006,p130000,pt11
r0.031,p128000,pt13
r0.02,p121000,pt13
r0.016,p125000,pt12
r0.025,p114000,pt15
r0.042,p126000,pt15
r0.02,p105000,pt15
r0.018,p123000,pt13
r0.01,p123000,pt12
r0.028,p117000,pt15
r0.005,p123000,pt12
r0.057,p121000,pt18
r0.01,p112000,pt13
r0.028,p115000,pt15
r0.041,p101000,pt20
r0.055,p143000,pt14
r0.005,p131000,pt11
r0.02,p119000,pt13
r0.025,p118000,pt14
r0.02,p120000,pt13
r0.01,p118000,pt13
r0.055,p131000,pt16
r0.02,p135000,pt12
r0.021,p127000,pt13
r0.06,p128000,pt17
r0.01,p105000,pt14
r0.02,p117000,pt14
r0.01,p118000,pt13
r0.027,p140000,pt12
r0.016,p121000,pt13
r0.009,p134000,pt11
r0.01,p104000,pt15
r0.025,p121000,pt14
r0.032,p123000,pt14
r0.045,p151000,pt12
r0.025,p102000,pt17
r0.02,p110000,pt15
r0.052,p113000,pt19
r0.01,p114000,pt13
r0.023,p121000,pt14
r0.02,p116000,pt14
r0.02,p128000,pt12
r0.045,p124000,pt16
r0.009,p128000,pt12
r0.02,p122000,pt13
r0.01,p136000,pt11
r0.057,p110000,pt22
r0.006,p112000,pt13
r0.035,p91000,pt22
r0.032,p107000,pt17
r0.037,p119000,pt15
r0.027,p107000,pt16
r0.02,p134000,pt12
r0.018,p109000,pt15
r0.016,p115000,pt14
r0.023,p126000,pt13
r0.02,p129000,pt12
r0.027,p126000,pt13
r0.023,p109000,pt15
r0.025,p106000,pt16
r0.01,p104000,pt15
r0.043,p157000,pt11
r0.011,p129000,pt12
r0.023,p127000,pt13
r0.01,p132000,pt11
r0.005,p137000,pt11
r0.02,p111000,pt15
r0.005,p109000,pt13
r0.02,p117000,pt14
r0.025,p135000,pt12
r0.043,p120000,pt16
r0.01,p112000,pt13
r0.005,p154000,pt10
r0.06,p122000,pt19
r0.06,p150000,pt14
r0.025,p142000,pt11
r0.027,p105000,pt16
r0.021,p134000,pt12
r0.025,p98000,pt18
r0.025,p126000,pt13
r0.038,p102000,pt19
r0.027,p119000,pt14
r0.035,p131000,pt13
r0.01,p104000,pt15
r0.01,p114000,pt13
r0.01,p128000,pt12
r0.023,p113000,pt15
r0.02,p125000,pt13
r0.025,p134000,pt12
r0.025,p118000,pt14
r0.031,p121000,pt14
r0.025,p108000,pt16
r0.02,p126000,pt13
r0.057,p122000,pt18
r0.018,p117000,pt14
r0.01,p119000,pt13
r0.025,p132000,pt12
r0.02,p115000,pt14
r0.016,p117000,pt13
r0.057,p98000,pt28
r0.016,p126000,pt12
r0.02,p113000,pt14
r0.043,p141000,pt13
r0.013,p124000,pt12
r0.025,p108000,pt16
r0.032,p128000,pt13
r0.023,p118000,pt14
r0.013,p137000,pt11
r0.072,p132000,pt19
r0.02,p113000,pt14
r0.027,p121000,pt14
r0.01,p110000,pt14
r0.013,p134000,pt11
r0.023,p121000,pt14
r0.013,p136000,pt11
r0.01,p122000,pt12
r0.057,p133000,pt16
r0.018,p129000,pt12
r0.02,p109000,pt15
r0.01,p129000,pt12
r0.042,p102000,pt20
r0.013,p104000,pt15
r0.023,p120000,pt14
r0.032,p146000,pt12
r0.01,p120000,pt13
r0.02,p112000,pt14
r0.023,p111000,pt15
r0.025,p136000,pt12
r0.052,p124000,pt17
r0.01,p106000,pt14
r0.005,p130000,pt11
r0.007,p110000,pt13
r0.02,p101000,pt16
r0.01,p115000,pt13
r0.02,p124000,pt13
r0.016,p106000,pt15
r0.025,p119000,pt14
r0.045,p98000,pt22
r0.035,p111000,pt17
r0.032,p129000,pt13
r0.016,p121000,pt13
r0.023,p108000,pt15
r0.013,p97000,pt16
r0.032,p111000,pt16
r0.005,p124000,pt12
r0.013,p124000,pt12
r0.02,p111000,pt15
r0.065,p105000,pt29
r0.016,p118000,pt13
r0.016,p111000,pt14
r0.03,p124000,pt14
r0.02,p114000,pt14
r0.021,p143000,pt11
r0.028,p135000,pt12
r0.01,p120000,pt13
r0.005,p112000,pt13
r0.01,p116000,pt13
r0.042,p116000,pt17
r0.007,p125000,pt12
r0.02,p122000,pt13
r0.05,p122000,pt17
r0.045,p103000,pt21
r0.016,p112000,pt14
r0.02,p119000,pt13
r0.033,p138000,pt12
r0.03,p121000,pt14
r0.023,p131000,pt12
r0.01,p105000,pt14
r0.023,p112000,pt15
r0.023,p122000,pt13
r0.005,p99000,pt15
r0.005,p121000,pt12
r0.032,p106000,pt17
r0.023,p115000,pt14
r0.023,p131000,pt12
r0.016,p134000,pt12
r0.007,p114000,pt13
r0.027,p113000,pt15
r0.025,p121000,pt14
r0.01,p133000,pt11
r0.026,p132000,pt12
r0.02,p127000,pt13
r0.005,p126000,pt12
r0.016,p117000,pt13
r0.015,p116000,pt13
r0.005,p108000,pt14
r0.038,p145000,pt12
r0.03,p106000,pt17
r0.033,p121000,pt15
r0.015,p105000,pt15
r0.025,p123000,pt13
r0.025,p118000,pt14
r0.01,p123000,pt12
r0.02,p128000,pt12
r0.057,p105000,pt24
r0.032,p114000,pt16
r0.023,p104000,pt16
r0.016,p127000,pt12
r0.007,p103000,pt14
r0.03,p108000,pt16
r0.023,p120000,pt14
r0.027,p132000,pt13
r0.02,p115000,pt14
r0.009,p100000,pt15
r0.01,p122000,pt12
r0.023,p130000,pt12
r0.052,p101000,pt24
r0.025,p124000,pt13
r0.027,p132000,pt13
r0.025,p109000,pt15
r0.01,p106000,pt14
r0.023,p112000,pt15
r0.023,p112000,pt15
r0.018,p139000,pt11
r0.023,p134000,pt12
r0.045,p124000,pt16
r0.013,p132000,pt12
r0.01,p110000,pt14
r0.023,p124000,pt13
r0.02,p124000,pt13
r0.013,p126000,pt12
r0.041,p120000,pt16
r0.007,p142000,pt10
r0.016,p121000,pt13
r0.01,p133000,pt11
r0.027,p94000,pt19
r0.02,p105000,pt15
r0.045,p130000,pt15
r0.01,p120000,pt13
r0.042,p97000,pt22
r0.043,p120000,pt16
r0.025,p105000,pt16
r0.03,p130000,pt13
r0.009,p111000,pt13
r0.02,p104000,pt16
r0.018,p127000,pt12
r0.016,p125000,pt12
r0.02,p120000,pt13
r0.01,p120000,pt13
r0.02,p114000,pt14
r0.032,p117000,pt15
r0.016,p118000,pt13
r0.01,p115000,pt13
r0.057,p123000,pt18
r0.014,p89000,pt18
r0.023,p128000,pt13
r0.043,p141000,pt13
r0.01,p129000,pt12
r0.023,p118000,pt14
r0.035,p119000,pt15
r0.018,p134000,pt12
r0.02,p128000,pt12
r0.02,p124000,pt13
r0.045,p118000,pt17
r0.023,p127000,pt13
r0.023,p138000,pt12
r0.01,p129000,pt12
r0.057,p132000,pt16
r0.01,p116000,pt13
r0.01,p117000,pt13
r0.018,p144000,pt11
r0.023,p128000,pt13
r0.01,p128000,pt12
r0.02,p116000,pt14
r0.065,p125000,pt19
r0.01,p111000,pt14
r0.025,p113000,pt15
r0.01,p125000,pt12
r0.01,p116000,pt13
r0.032,p106000,pt17
r0.023,p123000,pt13
r0.018,p116000,pt14
r0.005,p126000,pt12
r0.023,p125000,pt13
r0.059,p107000,pt24
r0.018,p137000,pt11
r0.005,p123000,pt12
r0.005,p100000,pt15
r0.057,p104000,pt25
r0.02,p133000,pt12
r0.016,p116000,pt13
r0.023,p118000,pt14
r0.032,p95000,pt20
r0.01,p127000,pt12
r0.028,p129000,pt13
r0.016,p117000,pt13
r0.01,p122000,pt12
r0.015,p101000,pt16
r0.028,p127000,pt13
r0.01,p128000,pt12
r0.01,p134000,pt11
r0.01,p140000,pt11
r0.02,p129000,pt12
r0.018,p112000,pt14
r0.02,p129000,pt12
r0.041,p106000,pt19
r0.023,p148000,pt11
r0.01,p106000,pt14
r0.038,p103000,pt19
r0.06,p108000,pt24
r0.062,p118000,pt21
r0.027,p110000,pt16
r0.016,p122000,pt13
r0.013,p100000,pt15
r0.023,p145000,pt11
r0.025,p119000,pt14
r0.023,p135000,pt12
r0.025,p138000,pt12
r0.025,p116000,pt14
r0.013,p113000,pt14
r0.023,p114000,pt14
r0.005,p85000,pt17
r0.023,p130000,pt12
r0.057,p135000,pt15
r0.025,p116000,pt14
r0.057,p129000,pt17
r0.01,p112000,pt13
r0.005,p122000,pt12
r0.025,p127000,pt13
r0.06,p102000,pt27
r0.065,p140000,pt16
r0.055,p115000,pt20
r0.013,p104000,pt15
r0.065,p106000,pt28
r0.02,p111000,pt15
r0.023,p116000,pt14
r0.005,p124000,pt12
r0.027,p133000,pt12
r0.025,p127000,pt13
r0.038,p142000,pt12
r0.005,p105000,pt14
r0.023,p119000,pt14
r0.027,p99000,pt18
r0.037,p122000,pt15
r0.02,p125000,pt13
r0.02,p110000,pt15
r0.01,p116000,pt13
r0.013,p113000,pt14
r0.057,p138000,pt15
r0.037,p139000,pt13
r0.045,p132000,pt14
r0.035,p120000,pt15
r0.027,p123000,pt14
r0.031,p132000,pt13
r0.038,p95000,pt21
r0.01,p129000,pt12
r0.023,p112000,pt15
r0.035,p113000,pt16
r0.025,p128000,pt13
r0.027,p126000,pt13
r0.023,p125000,pt13
r0.065,p121000,pt21
r0.01,p119000,pt13
r0.013,p145000,pt11
r0.006,p131000,pt11
r0.028,p136000,pt12
r0.02,p121000,pt13
r0.057,p136000,pt15
r0.013,p121000,pt13
r0.023,p140000,pt11
r0.013,p130000,pt12
r0.028,p131000,pt13
r0.013,p127000,pt12
r0.013,p122000,pt13
r0.02,p124000,pt13
r0.023,p111000,pt15
r0.042,p125000,pt15
r0.01,p134000,pt11
r0.02,p117000,pt14
r0.02,p118000,pt14
r0.025,p114000,pt15
r0.018,p120000,pt13
r0.023,p125000,pt13
r0.016,p118000,pt13
r0.02,p112000,pt14
r0.023,p126000,pt13
r0.02,p114000,pt14
r0.043,p111000,pt18
r0.032,p151000,pt11
r0.02,p111000,pt15
r0.052,p128000,pt16
r0.02,p144000,pt11
r0.02,p156000,pt10
r0.027,p117000,pt14
r0.02,p120000,pt13
r0.027,p109000,pt16
r0.027,p109000,pt16
r0.023,p121000,pt14
r0.02,p116000,pt14
r0.016,p129000,pt12
r0.005,p110000,pt13
r0.025,p129000,pt13
r0.013,p97000,pt16
r0.023,p107000,pt16
r0.01,p121000,pt12
r0.023,p126000,pt13
r0.023,p130000,pt12
r0.02,p103000,pt16
r0.02,p117000,pt14
r0.007,p104000,pt14
r0.023,p104000,pt16
r0.01,p114000,pt13
r0.01,p120000,pt13
r0.025,p114000,pt15
r0.007,p120000,pt12
r0.013,p117000,pt13
r0.018,p105000,pt15
r0.028,p109000,pt16
r0.023,p121000,pt14
r0.023,p129000,pt13
r0.015,p119000,pt13
r0.02,p115000,pt14
r0.02,p128000,pt12
r0.03,p129000,pt13
r0.03,p124000,pt14
r0.01,p114000,pt13
r0.027,p134000,pt12
r0.02,p131000,pt12
r0.01,p124000,pt12
r0.027,p136000,pt12
r0.016,p112000,pt14
r0.01,p117000,pt13
r0.037,p100000,pt19
r0.011,p109000,pt14
r0.023,p117000,pt14
r0.043,p138000,pt13
r0.005,p110000,pt13
r0.016,p123000,pt13
r0.025,p80000,pt23
r0.013,p128000,pt12
r0.018,p119000,pt13
r0.057,p114000,pt20
r0.01,p142000,pt11
r0.03,p128000,pt13
r0.032,p131000,pt13
r0.005,p126000,pt12
r0.02,p146000,pt11
r0.038,p128000,pt14
r0.016,p134000,pt12
r0.02,p125000,pt13
r0.032,p126000,pt14
r0.025,p131000,pt13
r0.03,p95000,pt19
r0.023,p98000,pt17
r0.013,p112000,pt14
r0.01,p130000,pt12
r0.013,p122000,pt13
r0.018,p107000,pt15
r0.016,p106000,pt15
r0.027,p125000,pt13
r0.032,p137000,pt12
r0.016,p121000,pt13
r0.01,p112000,pt13
r0.02,p134000,pt12
r0.01,p120000,pt13
r0.035,p136000,pt13
r0.037,p147000,pt12
r0.059,p106000,pt24
r0.02,p122000,pt13
r0.062,p129000,pt18
r0.018,p120000,pt13
r0.041,p124000,pt15
r0.028,p104000,pt17
r0.037,p130000,pt14
r0.027,p116000,pt15
r0.016,p143000,pt11
r0.032,p109000,pt16
r0.013,p108000,pt14
r0.03,p126000,pt14
r0.005,p107000,pt14
r0.02,p107000,pt15
r0.01,p104000,pt15
r0.02,p117000,pt14
r0.005,p135000,pt11
r0.045,p130000,pt15
r0.023,p119000,pt14
r0.041,p105000,pt19
r0.025,p113000,pt15
r0.062,p134000,pt17
r0.028,p114000,pt15
r0.045,p130000,pt15
r0.065,p123000,pt20
r0.027,p150000,pt11
r0.018,p127000,pt12
r0.01,p97000,pt16
r0.023,p126000,pt13
r0.038,p117000,pt16
r0.016,p120000,pt13
r0.013,p124000,pt12
r0.02,p105000,pt15
r0.055,p108000,pt22
r0.057,p121000,pt18
r0.01,p108000,pt14
r0.005,p131000,pt11
r0.023,p105000,pt16
r0.013,p135000,pt11
r0.023,p121000,pt14
r0.015,p109000,pt14
r0.02,p116000,pt14
r0.027,p98000,pt18
r0.016,p107000,pt15
r0.02,p115000,pt14
r0.011,p98000,pt16
r0.01,p124000,pt12
r0.023,p101000,pt17
r0.023,p136000,pt12
r0.01,p117000,pt13
r0.016,p106000,pt15
r0.02,p105000,pt15
r0.023,p122000,pt13
r0.01,p111000,pt14
r0.01,p100000,pt15
r0.023,p131000,pt12
r0.021,p116000,pt14
r0.02,p132000,pt12
r0.016,p111000,pt14
r0.018,p95000,pt17
r0.01,p113000,pt13
r0.02,p136000,pt12
r0.025,p108000,pt16
r0.023,p115000,pt14
r0.005,p112000,pt13
r0.072,p111000,pt30
r0.014,p116000,pt13
r0.02,p126000,pt13
r0.025,p111000,pt15
r0.016,p117000,pt13
r0.072,p128000,pt21
r0.027,p123000,pt14
r0.018,p115000,pt14
r0.013,p140000,pt11
r0.03,p123000,pt14
r0.032,p107000,pt17
r0.037,p116000,pt16
r0.016,p107000,pt15
r0.02,p130000,pt12
r0.055,p111000,pt21
r0.005,p129000,pt11
r0.01,p105000,pt14
r0.013,p105000,pt15
r0.015,p97000,pt16
r0.023,p141000,pt11
r0.055,p121000,pt18
r0.02,p117000,pt14
r0.027,p142000,pt12
r0.02,p115000,pt14
r0.05,p138000,pt14
r0.025,p103000,pt17
r0.014,p97000,pt16
r0.045,p129000,pt15
r0.02,p120000,pt13
r0.02,p108000,pt15
r0.025,p108000,pt16
r0.027,p108000,pt16
r0.016,p127000,pt12
r0.02,p125000,pt13
r0.02,p137000,pt12
r0.027,p121000,pt14
r0.023,p99000,pt17
r0.035,p107000,pt17
r0.01,p134000,pt11
r0.02,p113000,pt14
r0.02,p98000,pt17
r0.02,p109000,pt15
r0.025,p87000,pt20
r0.027,p134000,pt12
r0.02,p105000,pt15
r0.057,p104000,pt25
r0.035,p123000,pt14
r0.032,p134000,pt13
r0.016,p99000,pt16
r0.01,p116000,pt13
r0.02,p133000,pt12
r0.025,p121000,pt14
r0.023,p126000,pt13
r0.02,p135000,pt12
r0.043,p115000,pt17
r0.032,p111000,pt16
r0.02,p126000,pt13
r0.057,p143000,pt14
r0.025,p114000,pt15
r0.01,p127000,pt12
r0.026,p131000,pt13
r0.025,p133000,pt12
r0.02,p99000,pt17
r0.015,p109000,pt14
r0.025,p98000,pt18
r0.005,p108000,pt14
r0.013,p131000,pt12
r0.032,p141000,pt12
r0.023,p128000,pt13
r0.01,p88000,pt17
r0.005,p97000,pt15
r0.021,p107000,pt15
r0.01,p123000,pt12
r0.005,p147000,pt10
r0.018,p107000,pt15
r0.016,p115000,pt14
r0.062,p121000,pt20
r0.016,p106000,pt15
r0.02,p132000,pt12
r0.023,p125000,pt13
r0.015,p135000,pt11
r0.043,p123000,pt16
r0.023,p108000,pt15
r0.025,p112000,pt15
r0.01,p126000,pt12
r0.055,p108000,pt22
r0.01,p107000,pt14
r0.025,p106000,pt16
r0.02,p126000,pt13
r0.02,p113000,pt14
r0.027,p110000,pt16
r0.055,p128000,pt16
r0.01,p128000,pt12
r0.02,p123000,pt13
r0.02,p112000,pt14
r0.02,p116000,pt14
r0.055,p118000,pt19
r0.013,p126000,pt12
r0.059,p122000,pt19
r0.023,p105000,pt16
r0.032,p122000,pt14
r0.016,p115000,pt14
r0.02,p130000,pt12
r0.01,p124000,pt12
r0.027,p134000,pt12
r0.013,p120000,pt13
r0.045,p145000,pt13
r0.007,p110000,pt13
r0.045,p128000,pt15
r0.013,p134000,pt11
r0.025,p112000,pt15
r0.005,p129000,pt11
r0.023,p106000,pt16
r0.005,p142000,pt10
r0.027,p150000,pt11
r0.013,p112000,pt14
r0.062,p136000,pt16
r0.023,p130000,pt12
r0.02,p138000,pt11
r0.01,p125000,pt12
r0.023,p118000,pt14
r0.025,p133000,pt12
r0.005,p119000,pt12
r0.014,p114000,pt14
r0.01,p131000,pt11
r0.045,p110000,pt19
r0.01,p120000,pt13
r0.01,p113000,pt13
r0.023,p151000,pt11
r0.01,p120000,pt13
r0.023,p116000,pt14
r0.023,p141000,pt11
r0.016,p142000,pt11
r0.037,p134000,pt13
r0.007,p118000,pt13
r0.023,p129000,pt13
r0.016,p123000,pt13
r0.045,p126000,pt15
r0.02,p116000,pt14
r0.02,p100000,pt16
r0.025,p114000,pt15
r0.032,p126000,pt14
r0.023,p94000,pt18
r0.025,p117000,pt14
r0.043,p119000,pt16
r0.016,p116000,pt13
r0.016,p88000,pt18
r0.02,p112000,pt14
r0.01,p148000,pt10
r0.045,p116000,pt17
r0.025,p103000,pt17
r0.02,p105000,pt15
r0.013,p147000,pt10
r0.013,p124000,pt12
r0.025,p109000,pt15
r0.02,p92000,pt18
r0.032,p122000,pt14
r0.02,p131000,pt12
r0.032,p109000,pt16
r0.02,p141000,pt11
r0.013,p141000,pt11
r0.023,p127000,pt13
r0.023,p128000,pt13
r0.02,p132000,pt12
r0.01,p110000,pt14
r0.065,p116000,pt23
r0.027,p124000,pt14
r0.01,p115000,pt13
r0.021,p111000,pt15
r0.005,p116000,pt13
r0.007,p111000,pt13
r0.025,p125000,pt13
r0.013,p137000,pt11
r0.023,p109000,pt15
r0.05,p124000,pt16
r0.031,p140000,pt12
r0.023,p136000,pt12
r0.021,p143000,pt11
r0.005,p110000,pt13
r0.01,p107000,pt14
r0.015,p123000,pt13
r0.067,p93000,pt1000
r0.025,p130000,pt13
r0.01,p115000,pt13
r0.045,p118000,pt17
r0.005,p127000,pt12
r0.045,p100000,pt22
r0.025,p97000,pt18
r0.016,p108000,pt15
r0.02,p118000,pt14
r0.016,p117000,pt13
r0.01,p146000,pt10
r0.01,p130000,pt12
r0.032,p116000,pt15
r0.052,p105000,pt22
r0.02,p130000,pt12
r0.01,p131000,pt11
r0.031,p117000,pt15
r0.025,p142000,pt11
r0.02,p102000,pt16
r0.013,p140000,pt11
r0.01,p101000,pt15
r0.013,p117000,pt13
r0.05,p113000,pt19
r0.02,p124000,pt13
r0.021,p104000,pt16
r0.005,p122000,pt12
r0.005,p123000,pt12
r0.013,p125000,pt12
r0.01,p150000,pt10
r0.013,p109000,pt14
r0.02,p102000,pt16
r0.015,p115000,pt14
r0.005,p129000,pt11
r0.023,p110000,pt15
r0.013,p122000,pt13
r0.05,p126000,pt16
r0.009,p135000,pt11
r0.03,p127000,pt13
r0.005,p120000,pt12
r0.01,p109000,pt14
r0.01,p127000,pt12
r0.015,p132000,pt12
r0.01,p134000,pt11
r0.027,p104000,pt17
r0.052,p132000,pt15
r0.01,p138000,pt11
r0.059,p103000,pt26
r0.06,p117000,pt20
r0.026,p143000,pt11
r0.01,p103000,pt15
r0.016,p130000,pt12
r0.01,p110000,pt14
r0.055,p112000,pt21
r0.023,p128000,pt13
r0.005,p114000,pt13
r0.037,p111000,pt17
r0.013,p132000,pt12
r0.02,p134000,pt12
r0.025,p100000,pt17
r0.05,p125000,pt16
r0.018,p116000,pt14
r0.01,p115000,pt13
r0.01,p131000,pt11
r0.02,p134000,pt12
r0.01,p113000,pt13
r0.031,p125000,pt14
r0.015,p108000,pt14
r0.023,p99000,pt17
r0.01,p93000,pt16
r0.005,p139000,pt11
r0.031,p127000,pt14
r0.02,p112000,pt14
r0.013,p105000,pt15
r0.042,p126000,pt15
r0.005,p141000,pt10
r0.025,p133000,pt12
r0.018,p123000,pt13
r0.005,p99000,pt15
r0.033,p125000,pt14
r0.009,p120000,pt12
r0.038,p107000,pt18
r0.025,p110000,pt15
r0.01,p126000,pt12
r0.016,p126000,pt12
r0.067,p117000,pt23
r0.023,p135000,pt12
r0.02,p111000,pt15
r0.03,p97000,pt19
r0.038,p107000,pt18
r0.01,p125000,pt12
r0.018,p117000,pt14
r0.025,p127000,pt13
r0.03,p121000,pt14
r0.016,p124000,pt13
r0.02,p124000,pt13
r0.023,p116000,pt14
r0.01,p113000,pt13
r0.005,p116000,pt13
r0.02,p138000,pt11
r0.035,p127000,pt14
r0.02,p109000,pt15
r0.01,p142000,pt11
r0.027,p124000,pt14
r0.027,p122000,pt14
r0.027,p111000,pt15
r0.055,p117000,pt19
r0.02,p117000,pt14
r0.016,p127000,pt12
r0.025,p129000,pt13
r0.02,p114000,pt14
r0.062,p123000,pt19
r0.016,p122000,pt13
r0.02,p136000,pt12
r0.01,p125000,pt12
r0.01,p124000,pt12
r0.041,p115000,pt17
r0.02,p129000,pt12
r0.02,p121000,pt13
r0.005,p121000,pt12
r0.025,p126000,pt13
r0.016,p110000,pt14
r0.023,p126000,pt13
r0.023,p121000,pt14
r0.005,p131000,pt11
r0.032,p148000,pt11
r0.015,p114000,pt14
r0.01,p118000,pt13
r0.02,p135000,pt12
r0.037,p122000,pt15
r0.02,p111000,pt15
r0.015,p121000,pt13
r0.016,p135000,pt11
r0.01,p115000,pt13
r0.013,p107000,pt14
r0.025,p105000,pt16
r0.015,p115000,pt14
r0.016,p108000,pt15
r0.023,p130000,pt12
r0.02,p120000,pt13
r0.025,p112000,pt15
r0.042,p126000,pt15
r0.013,p120000,pt13
r0.023,p116000,pt14
r0.005,p133000,pt11
r0.045,p104000,pt20
r0.038,p118000,pt16
r0.021,p107000,pt15
r0.057,p112000,pt21
r0.01,p122000,pt12
r0.01,p137000,pt11
r0.025,p126000,pt13
r0.01,p110000,pt14
r0.023,p124000,pt13
r0.023,p107000,pt16
r0.027,p119000,pt14
r0.027,p124000,pt14
r0.01,p106000,pt14
r0.013,p122000,pt13
r0.02,p106000,pt15
r0.062,p132000,pt17
r0.016,p111000,pt14
r0.025,p118000,pt14
r0.005,p119000,pt12
r0.043,p129000,pt15
r0.016,p136000,pt11
r0.01,p66000,pt24
r0.016,p132000,pt12
r0.027,p117000,pt14
r0.032,p136000,pt13
r0.038,p102000,pt19
r0.027,p98000,pt18
r0.043,p130000,pt14
r0.031,p133000,pt13
r0.026,p117000,pt14
r0.007,p129000,pt11
r0.007,p127000,pt12
r0.043,p111000,pt18
r0.059,p129000,pt17
r0.027,p105000,pt16
r0.027,p110000,pt16
r0.015,p102000,pt15
r0.01,p128000,pt12
r0.02,p120000,pt13
r0.025,p99000,pt17
r0.032,p118000,pt15
r0.032,p101000,pt18
r0.02,p120000,pt13
r0.023,p117000,pt14
r0.023,p116000,pt14
r0.009,p103000,pt15
r0.023,p111000,pt15
r0.027,p116000,pt15
r0.005,p121000,pt12
r0.01,p109000,pt14
r0.032,p136000,pt13
r0.03,p127000,pt13
r0.042,p116000,pt17
r0.03,p127000,pt13
r0.023,p132000,pt12
r0.01,p97000,pt16
r0.02,p123000,pt13
r0.025,p151000,pt11
r0.005,p126000,pt12
r0.01,p125000,pt12
r0.025,p117000,pt14
r0.015,p131000,pt12
r0.025,p129000,pt13
r0.005,p120000,pt12
r0.027,p120000,pt14
r0.005,p113000,pt13
r0.01,p132000,pt11
r0.005,p115000,pt13
r0.02,p144000,pt11
r0.01,p139000,pt11
r0.025,p114000,pt15
r0.005,p110000,pt13
r0.06,p119000,pt20
r0.01,p117000,pt13
r0.01,p127000,pt12
r0.018,p125000,pt13
r0.038,p136000,pt13
r0.01,p130000,pt12
r0.023,p121000,pt14
r0.025,p105000,pt16
r0.01,p128000,pt12
r0.01,p131000,pt11
r0.038,p117000,pt16
r0.023,p125000,pt13
r0.048,p113000,pt18
r0.011,p113000,pt13
r0.013,p111000,pt14
r0.027,p118000,pt14
r0.01,p143000,pt10
r0.02,p103000,pt16
r0.032,p121000,pt14
r0.032,p108000,pt17
r0.057,p135000,pt15
r0.02,p104000,pt16
r0.072,p114000,pt28
r0.03,p103000,pt17
r0.038,p122000,pt15
r0.005,p107000,pt14
r0.037,p99000,pt20
r0.023,p110000,pt15
r0.023,p129000,pt13
r0.01,p123000,pt12
r0.045,p111000,pt18
r0.01,p125000,pt12
r0.015,p135000,pt11
r0.023,p122000,pt13
r0.01,p127000,pt12
r0.025,p126000,pt13
r0.032,p116000,pt15
r0.037,p113000,pt16
r0.018,p118000,pt13
r0.02,p114000,pt14
r0.042,p123000,pt15
r0.02,p128000,pt12
r0.023,p115000,pt14
r0.023,p101000,pt17
r0.035,p93000,pt21
r0.02,p101000,pt16
r0.01,p145000,pt10
r0.032,p108000,pt17
r0.027,p113000,pt15
r0.041,p137000,pt13
r0.02,p107000,pt15
r0.005,p124000,pt12
r0.023,p118000,pt14
r0.015,p107000,pt15
r0.02,p136000,pt12
r0.027,p121000,pt14
r0.023,p126000,pt13
r0.023,p124000,pt13
r0.02,p118000,pt14
r0.016,p108000,pt15
r0.062,p127000,pt18
r0.005,p140000,pt10
r0.01,p137000,pt11
r0.005,p137000,pt11
r0.027,p137000,pt12
r0.02,p124000,pt13
r0.01,p120000,pt13
r0.02,p124000,pt13
r0.027,p127000,pt13
r0.055,p125000,pt17
r0.025,p112000,pt15
r0.02,p136000,pt12
r0.005,p133000,pt11
r0.01,p125000,pt12
r0.02,p115000,pt14
r0.055,p120000,pt18
r0.02,p129000,pt12
r0.023,p106000,pt16
r0.016,p118000,pt13
r0.037,p121000,pt15
r0.042,p111000,pt18
r0.02,p143000,pt11
r0.005,p114000,pt13
r0.067,p114000,pt24
