r,P,payback_time
r0.02,p119000,pt13
r0.02,p116000,pt14
r0.01,p114000,pt13
r0.007,p107000,pt14
r0.025,p139000,pt12
r0.038,p130000,pt14
r0.06,p111000,pt23
r0.025,p110000,pt15
r0.01,p123000,pt12
r0.02,p126000,pt13
r0.02,p103000,pt16
r0.009,p123000,pt12
r0.027,p127000,pt13
r0.02,p118000,pt14
r0.025,p131000,pt13
r0.03,p132000,pt13
r0.032,p127000,pt14
r0.005,p132000,pt11
r0.01,p106000,pt14
r0.01,p134000,pt11
r0.055,p101000,pt25
r0.02,p122000,pt13
r0.025,p118000,pt14
r0.005,p110000,pt13
r0.027,p117000,pt14
r0.01,p109000,pt14
r0.007,p94000,pt16
r0.016,p112000,pt14
r0.035,p121000,pt15
r0.016,p119000,pt13
r0.01,p118000,pt13
r0.027,p104000,pt17
r0.027,p125000,pt13
r0.005,p92000,pt16
r0.013,p107000,pt14
r0.013,p134000,pt11
r0.005,p114000,pt13
r0.02,p115000,pt14
r0.043,p127000,pt15
r0.045,p125000,pt15
r0.06,p114000,pt21
r0.005,p116000,pt13
r0.01,p117000,pt13
r0.01,p136000,pt11
r0.005,p90000,pt16
r0.072,p139000,pt17
r0.023,p120000,pt14
r0.005,p138000,pt11
r0.016,p122000,pt13
r0.041,p126000,pt15
r0.02,p120000,pt13
r0.016,p123000,pt13
r0.027,p136000,pt12
r0.072,p130000,pt20
r0.023,p117000,pt14
r0.01,p126000,pt12
r0.035,p132000,pt13
r0.01,p121000,pt12
r0.005,p106000,pt14
r0.018,p127000,pt12
r0.037,p143000,pt12
r0.032,p117000,pt15
r0.032,p144000,pt12
r0.026,p133000,pt12
r0.025,p129000,pt13
r0.023,p117000,pt14
r0.057,p118000,pt19
r0.01,p119000,pt13
r0.02,p117000,pt14
r0.06,p122000,pt19
r0.025,p134000,pt12
r0.021,p114000,pt14
r0.027,p114000,pt15
r0.01,p118000,pt13
r0.01,p130000,pt12
r0.01,p134000,pt11
r0.01,p101000,pt15
r0.03,p112000,pt16
r0.067,p100000,pt1000
r0.013,p103000,pt15
r0.01,p101000,pt15
r0.023,p121000,pt14
r0.035,p120000,pt15
r0.052,p123000,pt17
r0.072,p113000,pt28
r0.023,p119000,pt14
r0.014,p111000,pt14
r0.062,p126000,pt18
r0.057,p115000,pt20
r0.01,p140000,pt11
r0.025,p145000,pt11
r0.01,p119000,pt13
r0.032,p115000,pt15
r0.02,p118000,pt14
r0.005,p111000,pt13
r0.038,p137000,pt13
r0.048,p149000,pt13
r0.055,p126000,pt17
r0.052,p113000,pt19
r0.035,p108000,pt17
r0.055,p126000,pt17
r0.028,p115000,pt15
r0.018,p110000,pt14
r0.057,p126000,pt17
r0.025,p118000,pt14
r0.023,p104000,pt16
r0.016,p105000,pt15
r0.02,p121000,pt13
r0.038,p131000,pt14
r0.043,p131000,pt14
r0.016,p103000,pt15
r0.005,p127000,pt12
r0.02,p132000,pt12
r0.01,p111000,pt14
r0.032,p120000,pt15
r0.025,p114000,pt15
r0.032,p116000,pt15
r0.025,p125000,pt13
r0.032,p115000,pt15
r0.016,p140000,pt11
r0.006,p126000,pt12
r0.018,p125000,pt13
r0.005,p108000,pt14
r0.025,p118000,pt14
r0.01,p113000,pt13
r0.013,p113000,pt14
r0.02,p93000,pt18
r0.013,p131000,pt12
r0.057,p107000,pt23
r0.045,p137000,pt14
r0.013,p132000,pt12
r0.033,p113000,pt16
r0.028,p111000,pt16
r0.02,p120000,pt13
r0.023,p104000,pt16
r0.032,p120000,pt15
r0.007,p114000,pt13
r0.023,p123000,pt13
r0.016,p120000,pt13
r0.02,p113000,pt14
r0.025,p120000,pt14
r0.01,p125000,pt12
r0.057,p125000,pt17
r0.02,p126000,pt13
r0.052,p115000,pt19
r0.005,p107000,pt14
r0.01,p121000,pt12
r0.048,p139000,pt14
r0.023,p133000,pt12
r0.045,p101000,pt21
r0.025,p132000,pt12
r0.02,p137000,pt12
r0.01,p127000,pt12
r0.02,p121000,pt13
r0.015,p139000,pt11
r0.005,p121000,pt12
r0.02,p113000,pt14
r0.013,p128000,pt12
r0.072,p134000,pt19
r0.023,p132000,pt12
r0.01,p85000,pt18
r0.035,p125000,pt14
r0.02,p145000,pt11
r0.02,p120000,pt13
r0.021,p114000,pt14
r0.013,p120000,pt13
r0.038,p117000,pt16
r0.045,p121000,pt16
r0.025,p128000,pt13
r0.02,p102000,pt16
r0.02,p126000,pt13
r0.02,p122000,pt13
r0.02,p118000,pt14
r0.045,p111000,pt18
r0.027,p114000,pt15
r0.02,p114000,pt14
r0.01,p118000,pt13
